wxn1,wxn2,wxn3,wxn4,wxn5,wxn6,wxn7,wxn8,wxn9,wxn10,wxn11,wxn12,wxn13,y0
1,336,7.78,3.4,34,29,23.338,4.36,16,2,3,1,4,1
1,337,8.22,3.36,60,30,18.553,3.81,12,2,3,1,1,0
1,339,6.51,6.45,37,22,22.05,5.85,19,1,5,2,4,1
1,340,7.82,9.89,21,29,21.872,7.11,11,2,5,1,4,1
1,341,9.66,5.67,20,32,22.58,4.03,18,1,5,1,1,0
1,342,11.05,7.84,22,26,19.531,6.05,25,1,5,1,2,1
1,344,5.07,6.35,42,25,18.314,5.61,14,2,3,1,6,0
1,345,9.04,10.1,36,27,19.004,5.09,11,2,3,2,3,0
1,347,8.24,8.07,25,27,18.026,3.71,17,1,5,1,1,1
1,349,6.17,3.71,47,28,22.6,5.7,15,2,3,2,1,0
1,350,5.98,4.63,49,32,17.928,9.33,14,1,5,1,4,1
1,351,7.81,4.38,33,32,20.029,5.77,15,2,3,1,4,1
1,354,6.27,3.17,32,29,19.91,7.84,14,1,5,2,4,1
1,357,5.28,11.01,33,31,22.349,5.94,20,2,5,2,4,1
1,358,5.2,5.31,31,30,20.08,5.75,14,2,3,2,1,1
1,359,5.27,3.86,52,27,30.062,10.84,38,1,5,2,2,1
1,360,8.04,8.22,53,29,19.183,7.76,19,1,5,1,1,1
1,362,6.17,3.94,50,24,20.088,5.85,8,2,3,1,1,0
1,363,8.9,7.79,33,25,20.812,9.49,15,2,5,1,1,1
1,364,6.94,3.67,26,27,20.797,5.67,11,2,5,1,1,1
1,365,8.82,4.98,64,30,21.077,4.27,17,1,5,1,1,1
1,366,6.9,3.84,34,31,22.1,5.8,18,2,5,2,1,1
1,367,7.49,11.93,41,33,20,9.22,17,2,3,1,1,1
1,368,8.22,3.61,36,30,23.733,7.19,18,2,5,1,1,0
1,369,5.56,3.36,61,25,20.447,3.5,16,1,5,1,1,1
1,370,5.85,5.03,18,32,24.61,3.55,13,1,5,1,1,1
1,371,8.09,5.42,33,27,23.05,7.52,14,2,3,1,4,1
